provider_id,provider_name,policy_url,domains
3,2KDirect Inc.,https://www.ipromote.com/privacy-policy/,ad1.ipromote.com cdn.ipromote.com fra*.ipromote.com geo.ipromote.com i.ipromote.com iad*.ipromote.com ipromote.com preview.ipromote.com search.ipromote.com servedby.ipromote.com sfo*.ipromote.com sin*.ipromote.com
7,Amazon,https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=201909010,*eu-central-1.amazonaws.com *eu-west-1.amazonaws.com *eu-west-2.amazonaws.com *northeast-1.amazonaws.com *s3-accelerate.amazonaws.com *southeast-1.amazonaws.com *us-east-1.amazonaws.com *us-east-1.elb.amazonaws.com *us-west-1.amazonaws.com *us-west-2.amazonaws.com a9.com aan.amazon.ca aan.amazon.co.jp aan.amazon.co.uk aan.amazon.com aan.amazon.de aan.amazon.es aan.amazon.fr aan.amazon.it aax*.amazon-adsystem.com aax-eu-rtb-adx.amazon-adsystem.com aax-eu-rtb.amazon-adsystem.com aax-eu.amazon-adsystem.com aax-fe-rtb.amazon-adsystem.com aax-fe-sin-rtb-adx.amazon-adsystem.com aax-fe-sin-rtb.amazon-adsystem.com aax-fe-sin.amazon-adsystem.com aax-fe.amazon-adsystem.com aax-us-east-rtb-adx.amazon-adsystem.com aax-us-east-rtb.amazon-adsystem.com aax-us-east.amazon-adsystem.ca aax-us-east.amazon-adsystem.co.jp aax-us-east.amazon-adsystem.co.uk aax-us-east.amazon-adsystem.com aax-us-east.amazon-adsystem.de aax-us-east.amazon-adsystem.es aax-us-east.amazon-adsystem.fr aax-us-east.amazon-adsystem.it aax-us-pdx-rtb-adx.amazon-adsystem.com aax-us-pdx-rtb.amazon-adsystem.com aax-us-pdx.amazon-adsystem.com aax-us-west-rtb.amazon-adsystem.com aax-us-west.amazon-adsystem.ca aax-us-west.amazon-adsystem.co.jp aax-us-west.amazon-adsystem.co.uk aax-us-west.amazon-adsystem.com aax-us-west.amazon-adsystem.de aax-us-west.amazon-adsystem.es aax-us-west.amazon-adsystem.fr aax-us-west.amazon-adsystem.it adman-video-player.s3.amazonaws.com adserver.amazon.ca adserver.amazon.co.jp adserver.amazon.co.uk adserver.amazon.com adserver.amazon.de adserver.amazon.es adserver.amazon.fr adserver.amazon.it adserver.www.endless.com amazon-adsystem.com amazon.co.jp amazon.com bes-clck.com c.amazon-adsystem.com cdn*.amazon-adsystem.com cloudfront.net da-cdn.amazon-adsystem.com dra.amazon-adsystem.com endless.com fls-eu.amazon-adsystem.com fls-fe.amazon-adsystem.com fls-na.amazon-adsystem.com g-ecx.images-amazon.com images-na.ssl-images-amazon.com m.media-amazon.com payments-amazon.com payments.amazon.de pda-as.amazon.ca pda-as.amazon.co.jp pda-as.amazon.co.uk pda-as.amazon.com pda-as.amazon.de pda-as.amazon.es pda-as.amazon.fr pda-as.amazon.it rechtstexte.s3.amazonaws.com s-beta.amazon-adsystem.com s-preprod.amazon-adsystem.com s.amazon-adsystem.com s3-ap-southeast-2.amazonaws.com s3-eu-west-1.amazonaws.com s3.amazonaws.com s3.eu-central-1.amazonaws.com sis.amazon.ca sis.amazon.co.jp sis.amazon.co.uk sis.amazon.com sis.amazon.de sis.amazon.es sis.amazon.fr sis.amazon.it situation.s3.amazonaws.com ssl-images-amazon.com supercore.s3.amazonaws.com v-eu.amazon-adsystem.com v.amazon-adsystem.com vaes-eu.amazon-adsystem.com vaes-fe.amazon-adsystem.com vaes-na.amazon-adsystem.com videos-adman-public.s3.amazonaws.com zappos.com
11,Acuityads,https://www.acuityads.com/privacy-policy/,acuityplatform.com cdn.acuityplatform.com click-east.acuityplatform.com click-euro.acuityplatform.com click-west.acuityplatform.com open.acuityplatform.com serve-east.acuityplatform.com serve-euro.acuityplatform.com serve-west.acuityplatform.com
12,LiveRamp,https://liveramp.com/service-privacy-policy/,idsync.rlcdn.com pippio.com rc.rlcdn.com rlcdn.com
15,Adara Media,https://adara.com/2018/04/10/adara-gdpr-faq/,adaraanalytics.com ag.yieldoptimizer.com cdnfs1.yieldoptimizer.com cdnp1.yieldoptimizer.com ic.adaraanalytics.com ii.adaraanalytics.com imp.adaraanalytics.com tag.adaraanalytics.com tag.yieldoptimizer.com yieldoptimizer.com
20,Eacnur,https://eacnur.org/es/politica-privacidad,45ac.eacnur.org
22,Adform,https://site.adform.com/uncategorized/product-and-services-privacy-policy/,a1.adform.net a1.seadform.net a2.adform.net a2.seadform.net adform.com adform.net adformdsp.net adx-tc.adform.net adx.adform.net adx2.adform.net adx3.adform.net asia.adform.net asia.seadform.net c1.adform.net c1.seadform.net cm.adform.net cookiematching.adform.net edc.adform.net files.adform.net files.seadform.net hb.adx.adform.net hb.adx2.adform.net hb.adx3.adform.net idmatch.adform.net jsmetrics.adform.net s1-eu.adform.net s1.adform.net s1.adformdsp.net s1.seadform.net s2.adform.net s2.adformdsp.net s2.seadform.net server.adform.net server.adformdsp.net server.seadform.net sitr.adform.net track-eu.adform.net track-tc.adform.net track-us.adform.net track.adform.net track.seadform.net us.seadform.net xd.adform.net
35,Adloox,http://adloox.com/disclaimer,am*.adlooxtracking.com am.adlooxtracking.com am10.adlooxtracking.com am11.adlooxtracking.com am12.adlooxtracking.com am13.adlooxtracking.com am14.adlooxtracking.com as.adlooxtracking.com brandsafe.adlooxtracking.com cdn.adlooxtracking.com data*.adlooxtracking.com j.adlooxtracking.com pixel.adlooxtracking.com pixelam.adlooxtracking.com pixelas.adlooxtracking.com tag.adlooxtracking.com
39,Digilant,https://www.digilant.com/privacy-policy/,wtp101.com
43,AdPredictive,http://adpredictive.com/optout/,adpredictive.com adpredictive.io adpredictive.net platform.adpredictive.com platform.adpredictive.io
46,Adriver,https://www.adriver.ru/about/privacy-en/,ad.adriver.ru adriver.ru boom-stage.adriver.ru boom1.adriver.ru cgi.adriver.ru content.adriver.ru datariver.ru dsp-moderation.adriver.ru dsp.adriver.ru dsp.soloway.ru dsp2.adriver.ru ead.adriver.ru edp2.adriver.ru exposure.adriver.ru foo.datariver.ru fp-content.adriver.ru fp.adriver.ru fp.fap1.adriver.ru gb*.adriver.ru gz.adriver.ru js.adriver.ru kz.kaztel1.adriver.ru kz1.adriver.ru lb*.adriver.ru log3.adriver.ru lw1.adriver.ru masterh*.adriver.ru media.soloway.ru mh6.adriver.ru mh8.adriver.ru mirror*.adriver.ru pb.soloway.ru rad*.adriver.ru rdg1.adriver.ru rosst.adriver.ru rsport.adriver.ru servers1.adriver.ru servers2.adriver.ru servers3.adriver.ru servers5.adriver.ru sib-content.adriver.ru sib.sib1.adriver.ru sib.sib2.adriver.ru sibtel.adriver.ru soloway.ru ssl-hosts.adriver.ru st*.adriver.ru tag.datariver.ru tags.adriver.ru tags.soloway.ru test.datariver.ru tns.adriver.ru tvad.adriver.ru tvod.adriver.ru ua*.adriver.ru ua.colo2.adriver.ru ua.un1.adriver.ru web.adriver.ru web.soloway.ru www.adriver.ru www.datariver.ru www.soloway.ru zbs.adriver.ru
